DATE,DGS3MO
1982-01-01,13.4693442622950820
1982-04-01,13.0515873015873016
1982-07-01,9.6737500000000000
1982-10-01,8.1703278688524590
1983-01-01,8.3987301587301587
1983-04-01,8.7261904761904762
1983-07-01,9.5246875000000000
1983-10-01,9.1563333333333333
1984-01-01,9.5458064516129032
1984-04-01,10.1879365079365079
1984-07-01,10.7457142857142857
1984-10-01,9.1649180327868852
1985-01-01,8.4646666666666667
1985-04-01,7.7204761904761905
1985-07-01,7.3403174603174603
1985-10-01,7.4000000000000000
1986-01-01,7.1190000000000000
1986-04-01,6.3209375000000000
1986-07-01,5.6840625000000000
1986-10-01,5.5020967741935484
1987-01-01,5.6996721311475410
1987-04-01,5.8390476190476190
1987-07-01,6.2389062500000000
1987-10-01,6.0708064516129032
1988-01-01,5.9024193548387097
1988-04-01,6.4096825396825397
1988-07-01,7.2482812500000000
1988-10-01,7.9972131147540984
1989-01-01,8.8557377049180328
1989-04-01,8.7031250000000000
1989-07-01,8.1133333333333333
1989-10-01,7.9080645161290323
1990-01-01,8.0264516129032258
1990-04-01,8.0107936507936508
1990-07-01,7.7253968253968254
1990-10-01,7.2193548387096774
1991-01-01,6.2116666666666667
1991-04-01,5.7362500000000000
1991-07-01,5.5459375000000000
1991-10-01,4.6796774193548387
1992-01-01,4.0020967741935484
1992-04-01,3.7680952380952381
1992-07-01,3.1510937500000000
1992-10-01,3.1437096774193548
1993-01-01,3.0252459016393443
1993-04-01,3.0352380952380952
1993-07-01,3.0703125000000000
1993-10-01,3.1329032258064516
1994-01-01,3.3348387096774194
1994-04-01,4.1117741935483871
1994-07-01,4.6090625000000000
1994-10-01,5.4439344262295082
1995-01-01,5.9164516129032258
1995-04-01,5.7719047619047619
1995-07-01,5.5325396825396825
1995-10-01,5.4208064516129032
1996-01-01,5.0725806451612903
1996-04-01,5.1553125000000000
1996-07-01,5.2417187500000000
1996-10-01,5.1093548387096774
1997-01-01,5.1978333333333333
1997-04-01,5.1925000000000000
1997-07-01,5.1864062500000000
1997-10-01,5.2296774193548387
1998-01-01,5.1886885245901639
1998-04-01,5.1153968253968254
1998-07-01,4.9603125000000000
1998-10-01,4.3629032258064516
1999-01-01,4.5255737704918033
1999-04-01,4.5837500000000000
1999-07-01,4.7951562500000000
1999-10-01,5.2059677419354839
2000-01-01,5.7046031746031746
2000-04-01,5.8960317460317460
2000-07-01,6.2020634920634921
2000-10-01,6.2001612903225806
2001-01-01,4.9333870967741935
2001-04-01,3.7406349206349206
2001-07-01,3.2836065573770492
2001-10-01,1.9496774193548387
2002-01-01,1.7543333333333333
2002-04-01,1.7462500000000000
2002-07-01,1.6737500000000000
2002-10-01,1.3659677419354839
2003-01-01,1.1747540983606557
2003-04-01,1.0588888888888889
2003-07-01,0.94781250000000000000
2003-10-01,0.93516129032258064516
2004-01-01,0.93370967741935483871
2004-04-01,1.0961290322580645
2004-07-01,1.5139062500000000
2004-10-01,2.0474193548387097
2005-01-01,2.5891803278688525
2005-04-01,2.9267187500000000
2005-07-01,3.4382812500000000
2005-10-01,3.9136065573770492
2006-01-01,4.5066129032258065
2006-04-01,4.8301587301587302
2006-07-01,5.0350793650793651
2006-10-01,5.0317741935483871
2007-01-01,5.1140322580645161
2007-04-01,4.8720312500000000
2007-07-01,4.4342857142857143
2007-10-01,3.4916129032258065
2008-01-01,2.1044262295081967
2008-04-01,1.6501562500000000
2008-07-01,1.5203125000000000
2008-10-01,0.31177419354838709677
2009-01-01,0.21229508196721311475
2009-04-01,0.17126984126984126984
2009-07-01,0.16000000000000000000
2009-10-01,0.06048387096774193548
2010-01-01,0.10983606557377049180
2010-04-01,0.14828125000000000000
2010-07-01,0.15484375000000000000
2010-10-01,0.13951612903225806452
2011-01-01,0.12677419354838709677
2011-04-01,0.04523809523809523810
2011-07-01,0.02500000000000000000
2011-10-01,0.01475409836065573770
2012-01-01,0.07064516129032258065
2012-04-01,0.08828125000000000000
2012-07-01,0.10158730158730158730
2012-10-01,0.08967213114754098361
2013-01-01,0.08633333333333333333
2013-04-01,0.05156250000000000000
2013-07-01,0.03218750000000000000
2013-10-01,0.06016129032258064516
2014-01-01,0.04934426229508196721
2014-04-01,0.03301587301587301587
2014-07-01,0.02640625000000000000
2014-10-01,0.02258064516129032258
2015-01-01,0.02459016393442622951
2015-04-01,0.01828125000000000000
2015-07-01,0.04265625000000000000
2015-10-01,0.12548387096774193548
2016-01-01,0.29049180327868852459
2016-04-01,0.25937500000000000000
2016-07-01,0.29828125000000000000
2016-10-01,0.43327868852459016393
2017-01-01,0.60612903225806451613
2017-04-01,0.90809523809523809524
2017-07-01,1.0539682539682540
2017-10-01,1.2266129032258065
2018-01-01,1.5821311475409836
2018-04-01,1.8746875000000000
2018-07-01,2.0746031746031746
2018-10-01,2.3567213114754098
2019-01-01,2.4385245901639344
2019-04-01,2.3547619047619048
2019-07-01,2.0260937500000000
2019-10-01,1.6075806451612903
2020-01-01,1.1040322580645161
