DATE,DGS3_PCH
1965-01-01,0.88302
1965-04-01,0.46811
1965-07-01,1.49617
1965-10-01,8.93820
1966-01-01,9.45571
1966-04-01,0.29416
1966-07-01,12.13866
1966-10-01,-3.37792
1967-01-01,-13.93405
1967-04-01,-0.29255
1967-07-01,13.06983
1967-10-01,7.78840
1968-01-01,0.09939
1968-04-01,4.41214
1968-07-01,-7.54455
1968-10-01,5.45042
1969-01-01,9.67161
1969-04-01,3.56438
1969-07-01,14.18328
1969-10-01,4.40217
1970-01-01,-0.79546
1970-04-01,-0.07039
1970-07-01,-4.34352
1970-10-01,-14.50219
1971-01-01,-20.26753
1971-04-01,16.07251
1971-07-01,8.34839
1971-10-01,-14.86678
1972-01-01,-1.23020
1972-04-01,6.77618
1972-07-01,3.34439
1972-10-01,2.19300
1973-01-01,9.46294
1973-04-01,3.75294
1973-07-01,11.21178
1973-10-01,-9.31928
1974-01-01,2.38677
1974-04-01,15.90988
1974-07-01,4.15549
1974-10-01,-10.27755
1975-01-01,-9.28975
1975-04-01,7.69262
1975-07-01,8.09115
1975-10-01,-5.87052
1976-01-01,-6.77324
1976-04-01,1.10718
1976-07-01,-3.69574
1976-10-01,-12.93300
1977-01-01,6.53789
1977-04-01,0.57973
1977-07-01,4.72492
1977-10-01,7.73078
1978-01-01,5.79743
1978-04-01,5.52578
1978-07-01,4.18917
1978-10-01,6.79659
1979-01-01,4.46175
1979-04-01,-1.35808
1979-07-01,-0.30946
1979-10-01,18.46376
1980-01-01,14.70831
1980-04-01,-19.33396
1980-07-01,3.41222
1980-10-01,23.78070
1981-01-01,3.22001
1981-04-01,8.19568
1981-07-01,9.00897
1981-10-01,-10.44381
1982-01-01,2.41633
1982-04-01,-2.19854
1982-07-01,-8.99901
1982-10-01,-21.16099
1983-01-01,-3.55128
1983-04-01,1.30777
1983-07-01,11.87847
1983-10-01,-1.01983
1984-01-01,1.92180
1984-04-01,12.95252
1984-07-01,-0.05646
1984-10-01,-11.96053
1985-01-01,-4.02465
1985-04-01,-8.51211
1985-07-01,-5.03459
1985-10-01,-4.69337
1986-01-01,-10.22086
1986-04-01,-9.66349
1986-07-01,-7.13259
1986-10-01,-2.62771
1987-01-01,0.48708
1987-04-01,18.38571
1987-07-01,5.44850
1987-10-01,1.94552
1988-01-01,-8.72295
1988-04-01,6.97916
1988-07-01,6.18112
1988-10-01,1.86124
1989-01-01,7.07390
1989-04-01,-5.13882
1989-07-01,-9.24915
1989-10-01,-2.62663
1990-01-01,6.62825
1990-04-01,2.82483
1990-07-01,-4.33878
1990-10-01,-5.83692
1991-01-01,-6.34404
1991-04-01,-0.44419
1991-07-01,-4.67961
1991-10-01,-15.31376
1992-01-01,-1.22496
1992-04-01,0.01250
1992-07-01,-18.86698
1992-10-01,6.63018
1993-01-01,-7.48874
1993-04-01,-4.48988
1993-07-01,-2.13942
1993-10-01,2.04977
1994-01-01,11.76191
1994-04-01,25.97794
1994-07-01,5.58960
1994-10-01,12.93689
1995-01-01,-2.06177
1995-04-01,-14.07856
1995-07-01,-4.21232
1995-10-01,-6.49418
1996-01-01,-3.53859
1996-04-01,16.72848
1996-07-01,1.15163
1996-10-01,-6.50865
1997-01-01,4.21427
1997-04-01,3.76454
1997-07-01,-6.41387
1997-10-01,-3.85677
1998-01-01,-5.49359
1998-04-01,1.92208
1998-07-01,-8.17159
1998-10-01,-13.78448
1999-01-01,10.88875
1999-04-01,9.55375
1999-07-01,6.64994
1999-10-01,5.16323
2000-01-01,9.14834
2000-04-01,-0.46976
2000-07-01,-5.63449
2000-10-01,-8.44936
2001-01-01,-17.83844
2001-04-01,-4.39782
2001-07-01,-10.35456
2001-10-01,-16.29924
2002-01-01,12.83536
2002-04-01,0.66527
2002-07-01,-30.40580
2002-10-01,-13.70723
2003-01-01,-8.65480
2003-04-01,-14.31639
2003-07-01,23.82652
2003-10-01,8.38857
2004-01-01,-9.13341
2004-04-01,37.39468
2004-07-01,-1.76330
2004-10-01,4.77267
2005-01-01,18.47294
2005-04-01,2.99148
2005-07-01,6.88240
2005-10-01,9.60279
2006-01-01,4.80950
2006-04-01,8.83173
2006-07-01,-2.38383
2006-10-01,-4.51283
2007-01-01,0.66616
2007-04-01,1.79321
2007-07-01,-7.28622
2007-10-01,-20.44875
2008-01-01,-38.20824
2008-04-01,22.48192
2008-07-01,-0.98131
2008-10-01,-43.75293
2009-01-01,-14.14564
2009-04-01,17.61115
2009-07-01,4.18430
2009-10-01,-10.78127
2010-01-01,5.67284
2010-04-01,-6.11293
2010-07-01,-39.53093
2010-10-01,-9.67500
2011-01-01,54.04711
2011-04-01,-18.61869
2011-07-01,-50.62405
2011-10-01,-10.62278
2012-01-01,0.70937
2012-04-01,-4.01854
2012-07-01,-13.93845
2012-10-01,3.70429
2013-01-01,8.89877
2013-04-01,10.71201
2013-07-01,63.15789
2013-10-01,-10.54980
2014-01-01,20.76475
2014-04-01,14.13346
2014-07-01,12.84561
2014-10-01,-1.65926
2015-01-01,0.21616
2015-04-01,-0.07898
2015-07-01,5.61200
2015-10-01,11.13837
2016-01-01,-10.00788
2016-04-01,-10.48900
2016-07-01,-7.24885
2016-10-01,45.78166
2017-01-01,22.42397
2017-04-01,-2.92710
2017-07-01,2.58788
2017-10-01,20.04720
2018-01-01,27.23908
2018-04-01,13.10697
2018-07-01,5.15241
2018-10-01,3.67306
2019-01-01,-13.67147
2019-04-01,-14.95294
2019-07-01,-21.81716
2019-10-01,-2.63245
2020-01-01,-31.21956
