DATE,DGS1
1965-01-01,4.0129508196721311
1965-04-01,4.0182539682539683
1965-07-01,4.0857812500000000
1965-10-01,4.4731147540983607
1966-01-01,4.9306349206349206
1966-04-01,4.9342857142857143
1966-07-01,5.5192187500000000
1966-10-01,5.4365000000000000
1967-01-01,4.5939344262295082
1967-04-01,4.2495312500000000
1967-07-01,5.1273015873015873
1967-10-01,5.5608196721311475
1968-01-01,5.4761290322580645
1968-04-01,5.9514516129032258
1968-07-01,5.5100000000000000
1968-10-01,5.8324193548387097
1969-01-01,6.3626229508196721
1969-04-01,6.5742857142857143
1969-07-01,7.6528571428571429
1969-10-01,7.8991803278688525
1970-01-01,7.5500000000000000
1970-04-01,7.4467692307692308
1970-07-01,6.9406250000000000
1970-10-01,5.6411475409836066
1971-01-01,4.0342622950819672
1971-04-01,5.0041269841269841
1971-07-01,5.7520312500000000
1971-10-01,4.7208196721311475
1972-01-01,4.4130158730158730
1972-04-01,4.8409375000000000
1972-07-01,5.1488888888888889
1972-10-01,5.4378333333333333
1973-01-01,6.3179032258064516
1973-04-01,7.0166666666666667
1973-07-01,8.5223809523809524
1973-10-01,7.4140000000000000
1974-01-01,7.3788524590163934
1974-04-01,8.6930158730158730
1974-07-01,9.0150000000000000
1974-10-01,7.6760655737704918
1975-01-01,6.3355000000000000
1975-04-01,6.5328125000000000
1975-07-01,7.5151562500000000
1975-10-01,6.6952459016393443
1976-01-01,5.9858064516129032
1976-04-01,6.2838095238095238
1976-07-01,6.0156250000000000
1976-10-01,5.2159016393442623
1977-01-01,5.4206349206349206
1977-04-01,5.7000000000000000
1977-07-01,6.2914285714285714
1977-10-01,6.9591666666666667
1978-01-01,7.3091803278688525
1978-04-01,7.7998412698412698
1978-07-01,8.4411111111111111
1978-10-01,9.8042622950819672
1979-01-01,10.3043548387096774
1979-04-01,9.9348387096774194
1979-07-01,10.1287301587301587
1979-10-01,12.2760655737704918
1980-01-01,13.9024193548387097
1980-04-01,10.2815873015873016
1980-07-01,10.1135937500000000
1980-10-01,13.8152459016393443
1981-01-01,14.0926229508196721
1981-04-01,15.1046031746031746
1981-07-01,16.3106250000000000
1981-10-01,13.5911475409836066
1982-01-01,14.3016393442622951
1982-04-01,13.8074603174603175
1982-07-01,11.8331250000000000
1982-10-01,9.1200000000000000
1983-01-01,8.8665079365079365
1983-04-01,9.1909523809523810
1983-07-01,10.3028125000000000
1983-10-01,9.9533333333333333
1984-01-01,10.1888709677419355
1984-04-01,11.5604761904761905
1984-07-01,11.8169841269841270
1984-10-01,10.0470491803278689
1985-01-01,9.3983333333333333
1985-04-01,8.4804761904761905
1985-07-01,7.9860317460317460
1985-10-01,7.8564516129032258
1986-01-01,7.4588333333333333
1986-04-01,6.6046875000000000
1986-07-01,5.9951562500000000
1986-10-01,5.7979032258064516
1987-01-01,5.9265573770491803
1987-04-01,6.7644444444444444
1987-07-01,7.1185937500000000
1987-10-01,7.2516129032258065
1988-01-01,6.7716129032258065
1988-04-01,7.3058730158730159
1988-07-01,8.0150000000000000
1988-10-01,8.5334426229508197
1989-01-01,9.3001639344262295
1989-04-01,8.9134375000000000
1989-07-01,8.1038095238095238
1989-10-01,7.8295161290322581
1990-01-01,8.1314516129032258
1990-04-01,8.2709523809523810
1990-07-01,7.8282539682539683
1990-10-01,7.3130645161290323
1991-01-01,6.4420000000000000
1991-04-01,6.2379687500000000
1991-07-01,5.8951562500000000
1991-10-01,4.8738709677419355
1992-01-01,4.3643548387096774
1992-04-01,4.2177777777777778
1992-07-01,3.4201562500000000
1992-10-01,3.5638709677419355
1993-01-01,3.4003278688524590
1993-04-01,3.3841269841269841
1993-07-01,3.4251562500000000
1993-10-01,3.5287096774193548
1994-01-01,3.9296774193548387
1994-04-01,5.1448387096774194
1994-07-01,5.6012500000000000
1994-10-01,6.6057377049180328
1995-01-01,6.7125806451612903
1995-04-01,5.9544444444444444
1995-07-01,5.6601587301587302
1995-10-01,5.4456451612903226
1996-01-01,5.1269354838709677
1996-04-01,5.6568750000000000
1996-07-01,5.7820312500000000
1996-10-01,5.4846774193548387
1997-01-01,5.6458333333333333
1997-04-01,5.8520312500000000
1997-07-01,5.5434375000000000
1997-10-01,5.4809677419354839
1998-01-01,5.3167213114754098
1998-04-01,5.4087301587301587
1998-07-01,5.0956250000000000
1998-10-01,4.3861290322580645
1999-01-01,4.6736065573770492
1999-04-01,4.8795312500000000
1999-07-01,5.1609375000000000
1999-10-01,5.6158064516129032
2000-01-01,6.1888888888888889
2000-04-01,6.2196825396825397
2000-07-01,6.1328571428571429
2000-10-01,5.9070967741935484
2001-01-01,4.5916129032258065
2001-04-01,3.7749206349206349
2001-07-01,3.3409836065573770
2001-10-01,2.2454838709677419
2002-01-01,2.3181666666666667
2002-04-01,2.3467187500000000
2002-07-01,1.8140625000000000
2002-10-01,1.5337096774193548
2003-01-01,1.3003278688524590
2003-04-01,1.1526984126984127
2003-07-01,1.2192187500000000
2003-10-01,1.2964516129032258
2004-01-01,1.2214516129032258
2004-04-01,1.7754838709677419
2004-07-01,2.0750000000000000
2004-10-01,2.4727419354838710
2005-01-01,3.0724590163934426
2005-04-01,3.3373437500000000
2005-07-01,3.7910937500000000
2005-10-01,4.2885245901639344
2006-01-01,4.6403225806451613
2006-04-01,5.0214285714285714
2006-07-01,5.0911111111111111
2006-10-01,4.9882258064516129
2007-01-01,5.0075806451612903
2007-04-01,4.9342187500000000
2007-07-01,4.5350793650793651
2007-10-01,3.6350000000000000
2008-01-01,2.1129508196721311
2008-04-01,2.0659375000000000
