DATE,DGS3
1982-01-01,14.4734426229508197
1982-04-01,14.1552380952380952
1982-07-01,12.8814062500000000
1982-10-01,10.1555737704918033
1983-01-01,9.7949206349206349
1983-04-01,9.9230158730158730
1983-07-01,11.1017187500000000
1983-10-01,10.9885000000000000
1984-01-01,11.1996774193548387
1984-04-01,12.6503174603174603
1984-07-01,12.6431746031746032
1984-10-01,11.1309836065573770
1985-01-01,10.6830000000000000
1985-04-01,9.7736507936507937
1985-07-01,9.2815873015873016
1985-10-01,8.8459677419354839
1986-01-01,7.9418333333333333
1986-04-01,7.1743750000000000
1986-07-01,6.6626562500000000
1986-10-01,6.4875806451612903
1987-01-01,6.5191803278688525
1987-04-01,7.7177777777777778
1987-07-01,8.1382812500000000
1987-10-01,8.2966129032258065
1988-01-01,7.5729032258064516
1988-04-01,8.1014285714285714
1988-07-01,8.6021875000000000
1988-10-01,8.7622950819672131
1989-01-01,9.3821311475409836
1989-04-01,8.9000000000000000
1989-07-01,8.0768253968253968
1989-10-01,7.8646774193548387
1990-01-01,8.3859677419354839
1990-04-01,8.6228571428571429
1990-07-01,8.2487301587301587
1990-10-01,7.7672580645161290
1991-01-01,7.2745000000000000
1991-04-01,7.2421875000000000
1991-07-01,6.9032812500000000
1991-10-01,5.8461290322580645
1992-01-01,5.7745161290322581
1992-04-01,5.7752380952380952
1992-07-01,4.6856250000000000
1992-10-01,4.9962903225806452
1993-01-01,4.6221311475409836
1993-04-01,4.4146031746031746
1993-07-01,4.3201562500000000
1993-10-01,4.4087096774193548
1994-01-01,4.9272580645161290
1994-04-01,6.2072580645161290
1994-07-01,6.5542187500000000
1994-10-01,7.4021311475409836
1995-01-01,7.2495161290322581
1995-04-01,6.2288888888888889
1995-07-01,5.9665079365079365
1995-10-01,5.5790322580645161
1996-01-01,5.3816129032258065
1996-04-01,6.2818750000000000
1996-07-01,6.3542187500000000
1996-10-01,5.9406451612903226
1997-01-01,6.1910000000000000
1997-04-01,6.4240625000000000
1997-07-01,6.0120312500000000
1997-10-01,5.7801612903225806
1998-01-01,5.4626229508196721
1998-04-01,5.5676190476190476
1998-07-01,5.1126562500000000
1998-10-01,4.4079032258064516
1999-01-01,4.8878688524590164
1999-04-01,5.3548437500000000
1999-07-01,5.7109375000000000
1999-10-01,6.0058064516129032
2000-01-01,6.5552380952380952
2000-04-01,6.5244444444444444
2000-07-01,6.1568253968253968
2000-10-01,5.6366129032258065
2001-01-01,4.6311290322580645
2001-04-01,4.4274603174603175
2001-07-01,3.9690163934426230
2001-10-01,3.3220967741935484
2002-01-01,3.7485000000000000
2002-04-01,3.7734375000000000
2002-07-01,2.6260937500000000
2002-10-01,2.2661290322580645
2003-01-01,2.0700000000000000
2003-04-01,1.7736507936507937
2003-07-01,2.1962500000000000
2003-10-01,2.3804838709677419
2004-01-01,2.1630645161290323
2004-04-01,2.9719354838709677
2004-07-01,2.9195312500000000
2004-10-01,3.0588709677419355
2005-01-01,3.6239344262295082
2005-04-01,3.7323437500000000
2005-07-01,3.9892187500000000
2005-10-01,4.3722950819672131
2006-01-01,4.5825806451612903
2006-04-01,4.9873015873015873
2006-07-01,4.8684126984126984
2006-10-01,4.6487096774193548
2007-01-01,4.6796774193548387
2007-04-01,4.7635937500000000
2007-07-01,4.4165079365079365
2007-10-01,3.5133870967741935
2008-01-01,2.1709836065573770
2008-04-01,2.6590625000000000
2008-07-01,2.6329687500000000
2008-10-01,1.4809677419354839
2009-01-01,1.2714754098360656
2009-04-01,1.4953968253968254
2009-07-01,1.5579687500000000
2009-10-01,1.3900000000000000
2010-01-01,1.4688524590163934
2010-04-01,1.3790625000000000
2010-07-01,0.83390625000000000000
2010-10-01,0.75322580645161290323
2011-01-01,1.1603225806451613
2011-04-01,0.94428571428571428571
2011-07-01,0.46625000000000000000
2011-10-01,0.41672131147540983607
2012-01-01,0.41967741935483870968
2012-04-01,0.40281250000000000000
2012-07-01,0.34666666666666666667
2012-10-01,0.35950819672131147541
2013-01-01,0.39150000000000000000
2013-04-01,0.43343750000000000000
2013-07-01,0.70718750000000000000
2013-10-01,0.63258064516129032258
2014-01-01,0.76393442622950819672
2014-04-01,0.87190476190476190476
2014-07-01,0.98390625000000000000
2014-10-01,0.96758064516129032258
2015-01-01,0.96967213114754098361
2015-04-01,0.96890625000000000000
2015-07-01,1.0232812500000000
2015-10-01,1.1372580645161290
2016-01-01,1.0234426229508197
2016-04-01,0.91609375000000000000
2016-07-01,0.84968750000000000000
2016-10-01,1.2386885245901639
2017-01-01,1.5164516129032258
2017-04-01,1.4720634920634921
2017-07-01,1.5101587301587302
2017-10-01,1.8129032258064516
2018-01-01,2.3067213114754098
2018-04-01,2.6090625000000000
2018-07-01,2.7434920634920635
2018-10-01,2.8442622950819672
2019-01-01,2.4554098360655738
2019-04-01,2.0882539682539683
2019-07-01,1.6326562500000000
2019-10-01,1.5896774193548387
2020-01-01,1.0933870967741935
