DATE,DGS1_PCH
1965-01-01,2.01284
1965-04-01,0.13215
1965-07-01,1.68051
1965-10-01,9.48004
1966-01-01,10.22822
1966-04-01,0.07404
1966-07-01,11.85446
1966-10-01,-1.49874
1967-01-01,-15.49831
1967-04-01,-7.49691
1967-07-01,20.65570
1967-10-01,8.45509
1968-01-01,-1.52299
1968-04-01,8.67990
1968-07-01,-7.41755
1968-10-01,5.85153
1969-01-01,9.09063
1969-04-01,3.32666
1969-07-01,16.40591
1969-10-01,3.21871
1970-01-01,-4.42046
1970-04-01,-1.36729
1970-07-01,-6.79683
1970-10-01,-18.72277
1971-01-01,-28.48508
1971-04-01,24.04069
1971-07-01,14.94575
1971-10-01,-17.92778
1972-01-01,-6.52013
1972-04-01,9.69681
1972-07-01,6.36140
1972-10-01,5.61178
1973-01-01,16.18420
1973-04-01,11.06005
1973-07-01,21.45911
1973-10-01,-13.00553
1974-01-01,-0.47407
1974-04-01,17.80986
1974-07-01,3.70394
1974-10-01,-14.85230
1975-01-01,-17.46423
1975-04-01,3.11440
1975-07-01,15.03707
1975-10-01,-10.91009
1976-01-01,-10.59617
1976-04-01,4.97849
1976-07-01,-4.26787
1976-10-01,-13.29410
1977-01-01,3.92518
1977-04-01,5.15373
1977-07-01,10.37594
1977-10-01,10.61346
1978-01-01,5.02953
1978-04-01,6.71294
1978-07-01,8.22158
1978-10-01,16.14895
1979-01-01,5.10077
1979-04-01,-3.58602
1979-07-01,1.95163
1979-10-01,21.20044
1980-01-01,13.24817
1980-04-01,-26.04462
1980-07-01,-1.63393
1980-10-01,36.60076
1981-01-01,2.00776
1981-04-01,7.18092
1981-07-01,7.98447
1981-10-01,-16.67304
1982-01-01,5.22761
1982-04-01,-3.45540
1982-07-01,-14.29905
1982-10-01,-22.92822
1983-01-01,-2.77952
1983-04-01,3.65921
1983-07-01,12.09733
1983-10-01,-3.39208
1984-01-01,2.36642
1984-04-01,13.46180
1984-07-01,2.21884
1984-10-01,-14.97789
1985-01-01,-6.45678
1985-04-01,-9.76617
1985-07-01,-5.83039
1985-10-01,-1.62258
1986-01-01,-5.06104
1986-04-01,-11.45147
1986-07-01,-9.22877
1986-10-01,-3.29021
1987-01-01,2.21898
1987-04-01,14.13784
1987-07-01,5.23545
1987-10-01,1.86862
1988-01-01,-6.61922
1988-04-01,7.88970
1988-07-01,9.70626
1988-10-01,6.46840
1989-01-01,8.98490
1989-04-01,-4.15828
1989-07-01,-9.08323
1989-10-01,-3.38475
1990-01-01,3.85637
1990-04-01,1.71557
1990-07-01,-5.35245
1990-10-01,-6.58115
1991-01-01,-11.91107
1991-04-01,-3.16720
1991-07-01,-5.49558
1991-10-01,-17.32414
1992-01-01,-10.45403
1992-04-01,-3.35850
1992-07-01,-18.91094
1992-10-01,4.20199
1993-01-01,-4.58892
1993-04-01,-0.47645
1993-07-01,1.21240
1993-10-01,3.02332
1994-01-01,11.36301
1994-04-01,30.92267
1994-07-01,8.87125
1994-10-01,17.93328
1995-01-01,1.61743
1995-04-01,-11.29426
1995-07-01,-4.94229
1995-10-01,-3.78989
1996-01-01,-5.85256
1996-04-01,10.33638
1996-07-01,2.21246
1996-10-01,-5.14272
1997-01-01,2.93829
1997-04-01,3.65221
1997-07-01,-5.27328
1997-10-01,-1.12691
1998-01-01,-2.99667
1998-04-01,1.73056
1998-07-01,-5.78888
1998-10-01,-13.92363
1999-01-01,6.55424
1999-04-01,4.40612
1999-07-01,5.76708
1999-10-01,8.81369
2000-01-01,10.20481
2000-04-01,0.49756
2000-07-01,-1.39598
2000-10-01,-3.68116
2001-01-01,-22.26955
2001-04-01,-17.78661
2001-07-01,-11.49526
2001-10-01,-32.78974
2002-01-01,3.23684
2002-04-01,1.23167
2002-07-01,-22.69792
2002-10-01,-15.45442
2003-01-01,-15.21682
2003-04-01,-11.35325
2003-07-01,5.77084
2003-10-01,6.33462
2004-01-01,-5.78502
2004-04-01,45.35851
2004-07-01,16.86955
2004-10-01,19.16829
2005-01-01,24.25312
2005-04-01,8.62126
2005-07-01,13.59614
2005-10-01,13.12104
2006-01-01,8.20324
2006-04-01,8.21292
2006-07-01,1.38770
2006-10-01,-2.02088
2007-01-01,0.38801
2007-04-01,-1.46502
2007-07-01,-8.08921
2007-10-01,-19.84705
2008-01-01,-41.87205
2008-04-01,-2.22501
2008-07-01,2.92694
2008-10-01,-53.48050
2009-01-01,-42.17843
2009-04-01,-8.89144
2009-07-01,-14.03585
2009-10-01,-20.82541
2010-01-01,2.79486
2010-04-01,3.75520
2010-07-01,-28.91367
2010-10-01,-3.61193
2011-01-01,4.97822
2011-04-01,-24.98001
2011-07-01,-34.63015
2011-10-01,-14.61589
2012-01-01,37.31724
2012-04-01,20.24485
2012-07-01,-3.30644
2012-10-01,-5.28281
2013-01-01,-13.03679
2013-04-01,-14.59260
2013-07-01,-4.27350
2013-10-01,2.30415
2014-01-01,-3.85467
2014-04-01,-14.50383
2014-07-01,6.17296
2014-10-01,39.20737
2015-01-01,48.04460
2015-04-01,11.04773
2015-07-01,38.95131
2015-10-01,34.34194
2016-01-01,24.33891
2016-04-01,-2.53598
2016-07-01,-1.21413
2016-10-01,35.10395
2017-01-01,18.10720
2017-04-01,26.11906
2017-07-01,10.46249
2017-10-01,24.67491
2018-01-01,25.29386
2018-04-01,15.94517
2018-07-01,9.23419
2018-10-01,8.45628
2019-01-01,-4.81691
2019-04-01,-11.05589
2019-07-01,-18.32268
2019-10-01,-14.59044
2020-01-01,-32.24156
